ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 9, 4, 0, 4, 14, 2, 0, 14, 16, 6, 0, 8, 16, 4, 0, 0, 4, 0, 16, 0, 6, 0, 4, 22, 0
0, 2, 20, 2, 22, 16, 14, 4, 0, 22, 0, 0, 0, 22, 0, 16, 14, 6, 22, 0, 8, 0, 0, 22, 0, 0
0, 30, 20, 2, 4, 16, 0, 16, 14, 16, 12, 4, 16, 0, 0, 14, 16, 0, 4, 0, 16, 8, 16, 22, 22, 0
0, 16, 0, 12, 0, 12, 0, 2, 22, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 12, 4, 0, 14, 6, 22, 22
0, 16, 4, 0, 4, 6, 0, 0, 11, 22, 0, 4, 0, 0, 0, 0, 0, 14, 12, 14, 22, 0, 16, 0, 0, 0
0, 7, 27, 4, 0, 16, 2, 22, 0, 6, 22, 0, 0, 0, 14, 14, 22, 0, 6, 0, 0, 22, 0, 2, 16, 0
0, 27, 20, 4, 0, 18, 0, 0, 8, 0, 16, 6, 8, 14, 0, 0, 0, 16, 0, 22, 0, 16, 16, 16, 0, 0
0, 2, 24, 1, 12, 22, 16, 12, 6, 22, 22, 0, 0, 16, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0
0, 1, 2, 22, 24, 6, 12, 12, 22, 0, 0, 16, 14, 8, 0, 22, 4, 0, 0, 0, 16, 0, 0, 14, 0, 0
0, 14, 2, 16, 22, 0, 0, 4, 0, 22, 16, 6, 6, 0, 6, 0, 16, 22, 14, 0, 0, 0, 8, 0, 0, 0
0, 17, 4, 4, 4, 22, 14, 4, 8, 0, 6, 22, 0, 0, 14, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0
0, 4, 25, 20, 4, 14, 3, 16, 0, 0, 16, 6, 0, 2, 0, 8, 0, 2, 0, 0, 0, 0, 22, 6, 22, 0
0, 7, 1, 16, 17, 2, 22, 4, 6, 16, 2, 6, 16, 0, 8, 12, 4, 6, 4, 0, 0, 0, 0, 16, 0, 0
0, 7, 4, 6, 0, 14, 16, 14, 22, 2, 0, 22, 0, 12, 0, 0, 0, 22, 0, 16, 0, 0, 16, 4, 6, 0
0, 22, 8, 4, 0, 9, 0, 22, 8, 0, 0, 0, 8, 0, 0, 22, 22, 0, 14, 0, 0, 0, 0, 0, 0, 0
1, 2, 22, 21, 21, 17, 9, 17, 1, 9, 1, 12, 1, 14, 9, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1
1, 19, 25, 17, 13, 2, 17, 10, 1, 9, 5, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1
1, 7, 14, 17, 14, 5, 11, 15, 17, 17, 12, 13, 3, 1, 9, 1, 1, 1, 1, 1, 9, 6, 1, 1, 1, 1
1, 4, 4, 17, 1, 17, 22, 1, 1, 3, 1, 14, 1, 1, 3, 1, 1, 10, 1, 5, 1, 1, 1, 1, 1, 1
1, 0, 21, 3, 10, 25, 1, 5, 1, 1, 1, 1, 3, 3, 1, 1, 9, 17, 1, 1, 1, 6, 1, 5, 1, 1
1, 14, 13, 10, 25, 18, 1, 1, 14, 1, 1, 9, 14, 17, 1, 1, 1, 5, 1, 1, 1, 21, 1, 1, 1, 21
1, 14, 5, 17, 17, 9, 17, 21, 9, 14, 1, 1, 14, 14, 1, 1, 5, 17, 9, 1, 3, 5, 1, 1, 1, 1
1, 0, 20, 30, 21, 1, 6, 1, 6, 1, 11, 1, 1, 5, 1, 1, 1, 1, 1, 1, 3, 9, 1, 1, 3, 1
1, 5, 0, 5, 25, 6, 14, 9, 1, 10, 3, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 25, 5, 1, 1, 9
1, 19, 3, 7, 1, 1, 9, 0, 17, 1, 9, 1, 3, 1, 21, 30, 1, 3, 1, 1, 1, 9, 9, 1, 5, 1
1, 5, 3, 21, 10, 17, 1, 2, 30, 5, 1, 14, 3, 5, 1, 1, 1, 1, 1, 1, 1, 21, 1, 1, 5, 14
1, 5, 17, 5, 1, 1, 25, 14, 5, 1, 3, 1, 1, 5, 6, 9, 1, 17, 30, 1, 9, 1, 5, 1, 6, 1
1, 7, 17, 6, 1, 1, 2, 13, 1, 9, 21, 1, 6, 1, 1, 1, 11, 1, 14, 1, 1, 9, 1, 1, 1, 1
1, 21, 17, 29, 21, 25, 9, 25, 3, 9, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 17, 25, 3, 1
1, 3, 6, 17, 1, 4, 21, 1, 13, 9, 1, 1, 5, 9, 1, 12, 5, 1, 1, 3, 1, 5, 5, 1, 14, 3
2, 16, 16, 16, 22, 18, 8, 2, 12, 12, 18, 3, 22, 2, 3, 18, 6, 18, 2, 2, 12, 2, 2, 6, 2, 7
2, 21, 3, 7, 9, 0, 12, 25, 7, 3, 0, 0, 22, 16, 18, 2, 2, 2, 2, 2, 2, 2, 15, 2, 2, 12
2, 16, 10, 2, 27, 3, 4, 11, 15, 3, 2, 16, 12, 22, 0, 12, 7, 2, 2, 2, 7, 3, 12, 16, 2, 12
2, 3, 3, 9, 8, 2, 9, 8, 8, 3, 10, 8, 3, 18, 8, 2, 2, 2, 2, 7, 2, 22, 22, 2, 8, 12
2, 22, 18, 6, 18, 11, 30, 8, 7, 16, 22, 2, 6, 11, 8, 3, 18, 2, 2, 8, 0, 2, 2, 2, 2, 2
2, 6, 2, 22, 12, 11, 6, 25, 0, 8, 12, 3, 2, 8, 2, 2, 12, 8, 2, 18, 22, 9, 8, 2, 12, 8
2, 10, 2, 9, 16, 14, 3, 7, 12, 18, 16, 7, 8, 2, 8, 12, 22, 2, 12, 6, 2, 2, 2, 12, 3, 7
2, 2, 16, 7, 24, 18, 9, 13, 22, 18, 12, 22, 7, 7, 0, 8, 2, 2, 3, 2, 2, 3, 10, 12, 2, 8
2, 7, 3, 7, 18, 7, 6, 30, 2, 3, 7, 12, 18, 22, 22, 8, 8, 6, 3, 2, 2, 2, 2, 12, 2, 7
2, 22, 29, 8, 3, 16, 8, 0, 10, 10, 16, 2, 3, 2, 10, 2, 2, 2, 7, 22, 22, 2, 2, 8, 2, 2
2, 22, 19, 2, 6, 18, 6, 11, 22, 12, 2, 2, 8, 0, 2, 2, 22, 2, 3, 2, 2, 2, 12, 2, 2, 2
2, 4, 16, 18, 11, 6, 8, 9, 7, 16, 18, 2, 11, 16, 7, 2, 25, 7, 2, 8, 0, 8, 3, 2, 2, 22
2, 3, 12, 21, 18, 8, 6, 8, 12, 8, 2, 6, 11, 18, 6, 2, 2, 22, 8, 2, 2, 8, 9, 2, 3, 3
2, 20, 15, 22, 16, 22, 18, 3, 9, 8, 12, 2, 22, 2, 2, 8, 8, 7, 2, 8, 2, 2, 2, 0, 2, 0
2, 2, 2, 25, 7, 8, 11, 16, 12, 9, 12, 7, 0, 2, 10, 2, 12, 2, 12, 9, 12, 8, 7, 7, 12, 8
3, 8, 6, 6, 19, 15, 13, 22, 8, 3, 9, 3, 6, 3, 6, 3, 5, 12, 30, 3, 5, 5, 3, 3, 3, 3
3, 28, 5, 25, 7, 14, 11, 11, 13, 9, 7, 6, 3, 2, 10, 3, 11, 6, 3, 3, 1, 1, 3, 9, 7, 7
3, 9, 22, 9, 19, 11, 6, 2, 3, 3, 7, 22, 12, 30, 9, 13, 1, 9, 6, 12, 2, 3, 3, 3, 3, 3
3, 7, 11, 19, 23, 1, 18, 7, 5, 2, 6, 3, 3, 3, 13, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 31, 6, 6, 7, 22, 9, 1, 6, 2, 3, 11, 6, 3, 11, 7, 3, 14, 3, 6, 3, 2, 3, 15, 3, 3
3, 2, 6, 13, 1, 10, 3, 22, 30, 6, 12, 11, 3, 3, 11, 6, 3, 1, 25, 2, 3, 3, 15, 3, 5, 2
3, 28, 6, 29, 2, 25, 3, 3, 1, 3, 9, 6, 1, 30, 7, 3, 3, 3, 2, 6, 1, 3, 2, 3, 3, 3
3, 3, 12, 4, 9, 3, 14, 9, 11, 3, 3, 6, 7, 11, 3, 9, 3, 2, 15, 9, 3, 3, 3, 3, 3, 3
3, 10, 15, 16, 15, 8, 5, 14, 9, 1, 1, 5, 6, 3, 15, 2, 1, 3, 3, 15, 12, 3, 3, 14, 9, 3
3, 6, 6, 3, 3, 9, 5, 15, 6, 18, 6, 3, 25, 15, 1, 3, 25, 3, 2, 3, 3, 3, 3, 22, 3, 6
3, 0, 16, 17, 9, 6, 12, 3, 11, 30, 1, 12, 3, 9, 9, 9, 3, 5, 1, 3, 3, 1, 2, 1, 3, 3
3, 0, 14, 14, 7, 8, 2, 9, 3, 3, 6, 3, 0, 3, 3, 3, 9, 6, 3, 3, 1, 3, 3, 10, 3, 3
3, 7, 23, 30, 5, 7, 3, 9, 2, 13, 12, 6, 3, 9, 2, 1, 25, 25, 3, 25, 3, 3, 9, 1, 7, 5
3, 5, 3, 30, 17, 24, 6, 7, 2, 10, 22, 6, 5, 9, 7, 2, 6, 3, 3, 3, 7, 6, 3, 3, 1, 2
3, 29, 13, 30, 9, 21, 13, 1, 12, 6, 15, 12, 12, 3, 2, 3, 3, 9, 11, 9, 3, 3, 1, 3, 30, 6
4, 0, 16, 4, 4, 16, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 6, 14, 4, 4, 4, 4, 4, 4, 4, 16, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 4, 4, 4, 4, 12, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 25, 12, 4, 0, 14, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 16, 20, 4, 4, 4, 16, 4, 4, 16, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 8, 4, 25, 25, 4, 4, 4, 4, 16, 4, 4, 16, 4, 4, 4, 4, 4, 4, 4, 16, 4, 4, 4, 4, 4
4, 4, 16, 0, 8, 4, 4, 4, 0, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4
4, 2, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 14, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 4, 22, 4, 16, 4, 4, 4, 4, 4, 4, 4, 4, 16, 4, 16, 4, 4, 4, 4, 0, 4, 4, 14, 4, 4
4, 3, 4, 4, 4, 4, 16, 4, 4, 4, 16, 16, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 4, 4, 4, 0, 4, 4, 0, 16, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 20, 14, 4, 16, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 14, 4, 18, 4, 4, 14, 4, 4, 0, 4, 4, 4, 4, 4, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4
4, 20, 0, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 14, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4
4, 4, 6, 4, 4, 6, 4, 4, 4, 4, 16, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4
5, 3, 15, 1, 21, 17, 5, 5, 22, 9, 28, 21, 9, 9, 9, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5
5, 21, 21, 25, 5, 5, 19, 5, 5, 5, 21, 5, 5, 5, 19, 5, 5, 5, 5, 5, 5, 5, 5, 30, 9, 13
5, 27, 28, 7, 21, 17, 1, 5, 5, 1, 5, 21, 17, 1, 5, 5, 5, 5, 15, 5, 5, 13, 5, 5, 5, 3
5, 16, 19, 13, 21, 5, 1, 9, 5, 1, 19, 3, 1, 5, 5, 5, 9, 5, 5, 1, 5, 5, 1, 5, 5, 5
5, 13, 2, 23, 31, 5, 1, 21, 5, 1, 5, 13, 9, 5, 5, 5, 5, 15, 30, 5, 5, 5, 5, 5, 5, 5
5, 1, 17, 31, 17, 21, 5, 9, 17, 5, 5, 10, 5, 5, 5, 31, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 13, 3, 5, 5, 31, 17, 17, 13, 21, 13, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 30, 1
5, 19, 21, 21, 5, 25, 5, 30, 3, 31, 21, 5, 1, 17, 5, 21, 13, 5, 1, 5, 13, 5, 5, 9, 5, 5
5, 22, 15, 5, 17, 17, 28, 5, 5, 13, 5, 13, 5, 30, 5, 31, 5, 5, 1, 5, 5, 13, 5, 5, 5, 5
5, 3, 14, 5, 21, 10, 21, 13, 21, 31, 5, 5, 5, 30, 5, 5, 9, 5, 31, 25, 15, 5, 3, 5, 5, 5
5, 3, 14, 7, 30, 1, 25, 21, 5, 13, 9, 5, 5, 5, 5, 13, 5, 5, 5, 5, 5, 1, 1, 5, 5, 1
5, 3, 17, 11, 17, 5, 21, 21, 1, 5, 5, 17, 5, 13, 5, 5, 30, 15, 5, 21, 5, 5, 5, 5, 5, 5
5, 17, 26, 7, 21, 19, 10, 5, 30, 1, 5, 1, 21, 5, 5, 21, 5, 5, 5, 5, 5, 5, 5, 13, 5, 5
5, 3, 21, 17, 21, 13, 21, 17, 25, 5, 9, 5, 9, 5, 5, 5, 5, 5, 9, 5, 5, 5, 5, 21, 5, 5
5, 24, 19, 3, 31, 21, 5, 7, 5, 5, 5, 5, 5, 5, 15, 21, 31, 15, 5, 5, 15, 5, 9, 21, 1, 5
6, 4, 9, 6, 22, 22, 1, 6, 25, 7, 1, 6, 14, 0, 6, 3, 9, 6, 6, 1, 0, 6, 14, 6, 6, 0
6, 14, 1, 0, 14, 1, 1, 9, 14, 1, 0, 14, 9, 9, 6, 0, 6, 6, 14, 6, 6, 6, 0, 14, 22, 6
6, 22, 13, 2, 9, 14, 14, 3, 9, 6, 14, 2, 9, 6, 9, 6, 14, 14, 6, 14, 6, 6, 6, 6, 6, 9
6, 9, 1, 1, 2, 2, 14, 6, 8, 22, 1, 6, 6, 6, 14, 6, 6, 1, 22, 6, 6, 12, 6, 6, 22, 9
6, 16, 2, 30, 9, 25, 3, 6, 14, 12, 22, 6, 14, 14, 9, 2, 14, 6, 6, 2, 6, 0, 6, 0, 6, 6
6, 12, 14, 11, 25, 19, 6, 6, 2, 30, 14, 6, 6, 6, 14, 22, 14, 22, 6, 6, 22, 6, 14, 6, 6, 6
6, 4, 17, 2, 9, 4, 4, 22, 14, 14, 8, 22, 22, 22, 6, 9, 14, 22, 14, 6, 14, 9, 6, 6, 22, 6
6, 8, 4, 9, 2, 6, 16, 25, 3, 22, 6, 0, 14, 6, 1, 6, 1, 6, 11, 6, 3, 6, 6, 6, 3, 22
6, 4, 2, 25, 22, 0, 8, 25, 14, 6, 1, 6, 6, 9, 6, 6, 9, 9, 6, 12, 1, 6, 6, 6, 9, 22
6, 28, 3, 22, 22, 25, 24, 3, 3, 14, 6, 11, 6, 14, 14, 6, 6, 3, 6, 14, 2, 6, 6, 6, 1, 6
6, 17, 18, 28, 3, 22, 16, 0, 22, 6, 12, 0, 14, 9, 2, 22, 3, 6, 14, 14, 6, 6, 6, 6, 6, 9
6, 5, 28, 12, 6, 10, 3, 9, 6, 1, 22, 0, 9, 14, 22, 2, 6, 6, 22, 6, 14, 1, 9, 9, 9, 6
6, 22, 21, 0, 14, 6, 6, 30, 3, 14, 9, 14, 3, 6, 9, 22, 9, 6, 6, 22, 14, 14, 6, 6, 9, 6
6, 27, 30, 2, 16, 14, 2, 22, 11, 9, 6, 6, 14, 1, 6, 6, 9, 6, 6, 22, 9, 6, 0, 6, 6, 14
6, 24, 2, 29, 22, 16, 27, 2, 9, 11, 9, 6, 6, 22, 3, 0, 1, 9, 1, 22, 3, 6, 9, 9, 12, 6
7, 17, 22, 3, 13, 7, 18, 18, 15, 7, 25, 18, 7, 15, 7, 2, 7, 18, 2, 7, 15, 7, 12, 7, 7, 7
7, 7, 31, 3, 8, 3, 2, 10, 7, 8, 15, 2, 3, 18, 3, 18, 7, 7, 7, 6, 18, 18, 18, 10, 7, 7
7, 16, 13, 7, 2, 13, 2, 11, 7, 18, 2, 7, 22, 7, 7, 10, 7, 7, 3, 7, 7, 15, 7, 2, 18, 18
7, 19, 5, 2, 9, 7, 30, 18, 7, 2, 18, 15, 9, 18, 10, 18, 2, 9, 2, 9, 7, 15, 7, 13, 7, 7
7, 20, 14, 16, 12, 22, 7, 7, 15, 7, 9, 7, 7, 15, 7, 18, 18, 13, 7, 7, 7, 7, 7, 2, 7, 13
7, 2, 13, 27, 15, 12, 18, 18, 3, 22, 7, 22, 18, 7, 7, 7, 15, 18, 7, 10, 15, 3, 18, 7, 7, 7
7, 3, 27, 0, 7, 7, 13, 2, 9, 13, 12, 7, 18, 3, 8, 7, 18, 13, 10, 7, 7, 7, 7, 7, 2, 7
7, 2, 24, 23, 31, 3, 7, 3, 31, 7, 7, 7, 7, 8, 7, 15, 7, 2, 11, 7, 15, 7, 7, 7, 7, 7
7, 31, 13, 2, 2, 27, 18, 2, 15, 2, 8, 13, 7, 7, 10, 7, 13, 7, 7, 8, 8, 18, 13, 7, 7, 15
7, 6, 3, 9, 13, 5, 11, 3, 6, 7, 10, 15, 3, 18, 8, 2, 2, 18, 7, 3, 7, 7, 7, 18, 11, 10
7, 5, 29, 18, 14, 2, 9, 9, 7, 30, 10, 6, 2, 11, 2, 7, 7, 7, 7, 7, 15, 7, 7, 7, 2, 7
7, 24, 2, 26, 3, 18, 10, 7, 9, 7, 18, 18, 2, 12, 7, 7, 7, 2, 18, 7, 7, 18, 18, 18, 18, 7
7, 3, 22, 23, 7, 7, 13, 7, 8, 7, 12, 3, 18, 10, 3, 7, 7, 7, 18, 13, 2, 3, 7, 7, 7, 18
7, 2, 16, 7, 2, 12, 18, 11, 2, 3, 12, 2, 10, 7, 7, 7, 18, 3, 13, 7, 7, 18, 7, 18, 2, 7
7, 5, 11, 18, 7, 25, 26, 8, 3, 18, 30, 7, 7, 8, 7, 2, 7, 3, 7, 7, 7, 7, 7, 7, 18, 2
8, 0, 2, 2, 12, 18, 2, 8, 18, 12, 8, 22, 16, 7, 8, 16, 8, 8, 2, 18, 8, 8, 8, 8, 18, 18
8, 7, 7, 14, 6, 18, 16, 8, 8, 8, 22, 22, 18, 18, 8, 8, 8, 16, 12, 8, 18, 8, 8, 8, 16, 8
8, 2, 27, 4, 18, 18, 18, 8, 16, 8, 8, 8, 8, 8, 8, 8, 22, 8, 8, 18, 2, 18, 8, 18, 8, 8
8, 6, 8, 4, 16, 16, 7, 0, 8, 12, 12, 8, 18, 16, 16, 16, 8, 8, 16, 24, 8, 8, 8, 8, 8, 8
8, 7, 2, 16, 24, 18, 16, 16, 0, 2, 8, 8, 8, 16, 8, 8, 24, 2, 8, 8, 8, 8, 18, 8, 8, 8
8, 4, 16, 16, 18, 12, 8, 8, 16, 8, 8, 18, 18, 2, 2, 18, 16, 8, 8, 8, 8, 8, 16, 8, 16, 8
8, 28, 27, 4, 16, 4, 10, 8, 8, 7, 8, 18, 8, 8, 16, 8, 0, 8, 8, 22, 8, 8, 8, 8, 8, 8
8, 18, 25, 24, 8, 8, 4, 0, 16, 7, 8, 8, 8, 8, 8, 18, 8, 6, 16, 8, 16, 8, 8, 16, 22, 8
8, 10, 0, 7, 0, 24, 11, 16, 18, 22, 12, 8, 8, 8, 8, 2, 8, 8, 8, 18, 3, 8, 8, 8, 16, 8
8, 4, 29, 4, 20, 16, 8, 8, 22, 8, 12, 18, 8, 12, 18, 8, 8, 8, 8, 12, 8, 8, 2, 8, 8, 18
8, 10, 18, 22, 12, 8, 22, 16, 8, 8, 16, 0, 16, 18, 8, 8, 10, 8, 16, 8, 8, 8, 22, 8, 8, 8
8, 4, 24, 20, 24, 18, 16, 30, 7, 18, 8, 18, 18, 8, 8, 8, 8, 16, 8, 8, 18, 8, 12, 8, 16, 8
8, 5, 22, 16, 4, 4, 9, 7, 22, 12, 8, 18, 0, 16, 16, 8, 8, 8, 8, 18, 8, 8, 18, 8, 8, 8
8, 2, 4, 28, 8, 18, 12, 8, 0, 7, 27, 16, 8, 8, 8, 2, 8, 8, 8, 10, 8, 8, 8, 8, 16, 8
8, 7, 4, 23, 24, 18, 18, 24, 10, 0, 22, 2, 8, 8, 8, 8, 16, 8, 2, 22, 8, 8, 12, 8, 8, 8
9, 1, 4, 9, 3, 6, 22, 6, 9, 3, 9, 9, 9, 25, 1, 2, 9, 9, 25, 9, 9, 9, 9, 5, 9, 9
9, 13, 26, 17, 18, 9, 9, 15, 3, 3, 14, 1, 22, 9, 9, 9, 9, 3, 3, 9, 9, 25, 3, 3, 9, 9
9, 28, 14, 2, 22, 13, 17, 1, 3, 9, 9, 6, 9, 9, 11, 9, 9, 9, 3, 9, 22, 9, 6, 9, 9, 9
9, 22, 22, 21, 22, 9, 5, 1, 9, 9, 9, 9, 9, 5, 1, 25, 9, 9, 3, 25, 9, 9, 9, 9, 9, 9
9, 6, 29, 1, 21, 1, 25, 9, 1, 3, 6, 9, 9, 9, 11, 3, 8, 9, 25, 9, 9, 9, 3, 9, 1, 9
9, 28, 26, 6, 8, 25, 9, 14, 1, 9, 3, 1, 1, 6, 9, 9, 9, 9, 9, 9, 9, 11, 9, 9, 9, 1
9, 1, 4, 22, 25, 9, 25, 14, 22, 1, 9, 22, 7, 1, 9, 9, 3, 9, 6, 9, 9, 9, 9, 3, 9, 9
9, 7, 5, 12, 5, 5, 25, 3, 1, 3, 5, 1, 1, 3, 7, 9, 9, 9, 9, 9, 1, 1, 3, 9, 3, 9
9, 4, 18, 25, 11, 9, 9, 6, 9, 11, 25, 9, 22, 1, 3, 9, 11, 9, 9, 9, 9, 25, 13, 9, 9, 9
9, 3, 5, 11, 10, 2, 30, 14, 25, 9, 9, 6, 9, 9, 9, 9, 3, 9, 9, 6, 25, 2, 7, 3, 9, 1
9, 6, 8, 1, 1, 3, 6, 6, 25, 25, 9, 3, 1, 3, 9, 9, 9, 1, 6, 9, 22, 3, 6, 22, 9, 9
9, 13, 2, 22, 22, 10, 1, 9, 6, 0, 3, 9, 6, 9, 9, 9, 6, 1, 9, 9, 9, 3, 9, 9, 9, 9
9, 4, 6, 3, 7, 9, 5, 9, 9, 11, 22, 9, 5, 3, 2, 3, 9, 11, 1, 9, 9, 2, 9, 5, 9, 9
9, 25, 4, 21, 25, 9, 11, 22, 9, 6, 11, 7, 9, 6, 9, 9, 9, 1, 2, 9, 5, 9, 9, 3, 9, 9
9, 0, 13, 13, 1, 3, 9, 9, 9, 1, 9, 9, 6, 9, 3, 13, 9, 9, 9, 6, 5, 9, 3, 2, 9, 9
10, 5, 5, 3, 1, 30, 4, 10, 10, 8, 13, 5, 10, 17, 10, 10, 13, 10, 10, 10, 10, 18, 10, 10, 10, 10
10, 9, 17, 4, 8, 30, 17, 18, 10, 8, 8, 10, 10, 10, 7, 10, 10, 10, 14, 10, 10, 10, 10, 10, 10, 10
10, 17, 13, 16, 12, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 13, 22, 10, 10, 10, 10, 10, 13, 10
10, 13, 20, 23, 11, 15, 18, 10, 11, 7, 13, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 10, 10, 10, 10, 10
10, 28, 7, 26, 12, 13, 10, 20, 13, 13, 10, 10, 5, 13, 10, 22, 10, 30, 10, 10, 10, 10, 10, 10, 10, 10
10, 2, 28, 2, 3, 26, 26, 26, 11, 9, 13, 10, 10, 26, 10, 13, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10
10, 5, 2, 3, 10, 14, 10, 10, 15, 10, 12, 10, 7, 10, 15, 2, 10, 13, 3, 6, 10, 10, 10, 8, 10, 10
10, 15, 23, 3, 20, 10, 10, 10, 10, 10, 10, 13, 10, 10, 10, 10, 10, 10, 10, 14, 10, 10, 10, 10, 10, 10
10, 6, 17, 13, 10, 18, 13, 20, 13, 13, 10, 10, 7, 10, 9, 9, 10, 10, 8, 10, 22, 10, 10, 10, 10, 10
10, 31, 8, 29, 10, 24, 10, 5, 20, 10, 10, 18, 10, 10, 10, 10, 10, 10, 22, 10, 10, 13, 10, 10, 10, 10
10, 7, 10, 2, 20, 11, 23, 7, 13, 13, 13, 10, 10, 30, 10, 3, 10, 10, 10, 10, 10, 10, 10, 13, 10, 3
10, 5, 4, 17, 12, 13, 5, 10, 10, 10, 15, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 10, 13, 10, 13
10, 0, 29, 6, 26, 17, 26, 10, 10, 10, 10, 10, 13, 10, 10, 10, 18, 10, 13, 10, 13, 10, 7, 10, 2, 10
10, 4, 23, 23, 6, 10, 24, 10, 14, 22, 7, 22, 13, 20, 11, 10, 10, 10, 20, 10, 7, 10, 7, 10, 10, 10
10, 13, 2, 28, 26, 11, 26, 7, 10, 18, 26, 7, 10, 7, 2, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 13
11, 3, 7, 22, 1, 27, 11, 13, 2, 9, 11, 22, 6, 11, 18, 11, 12, 11, 11, 11, 8, 2, 11, 11, 11, 11
11, 12, 6, 5, 11, 7, 11, 7, 11, 11, 11, 11, 5, 11, 11, 11, 2, 11, 11, 22, 11, 11, 11, 11, 11, 11
11, 31, 9, 4, 3, 31, 11, 27, 27, 11, 3, 11, 11, 11, 22, 10, 11, 11, 11, 11, 11, 11, 6, 11, 11, 11
11, 3, 15, 22, 11, 2, 11, 9, 2, 11, 6, 11, 10, 11, 9, 11, 11, 11, 11, 11, 6, 11, 11, 22, 7, 11
11, 6, 11, 25, 7, 27, 7, 11, 27, 11, 8, 11, 11, 11, 11, 11, 2, 11, 11, 11, 11, 11, 11, 15, 11, 11
11, 14, 6, 23, 9, 8, 7, 11, 11, 11, 11, 0, 9, 3, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
11, 4, 23, 22, 9, 30, 22, 11, 0, 15, 11, 11, 18, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
11, 8, 10, 13, 12, 24, 11, 18, 1, 11, 11, 11, 11, 2, 7, 18, 11, 9, 8, 11, 11, 8, 11, 11, 11, 11
11, 5, 2, 2, 12, 11, 11, 22, 1, 11, 11, 9, 22, 7, 11, 11, 11, 11, 9, 11, 11, 11, 11, 11, 11, 11
